condition,metric,probe,random_mean,random_std,n_random,z
A_L25,agreement_vs_b0,0.9903640256959315,0.9442225085910652,0.05080929259341957,5,0.9081314607958595
A_L25,ks_pa_vs_b0,0.010649627263045794,0.034946349673890174,0.02142896132940315,5,-1.1338264154458253
A_L25,d_mean_abs_dev,0.000709975150869735,-0.006830773546532021,0.005881271181996159,5,1.28216306714195
A_L25,flip_rate,0.29392624728850325,0.3372220730397422,0.03569647718653991,5,-1.212887913980614
A_L25,test_retest,0.9825479930191973,0.9813333333333334,0.01366260102127951,5,0.08890398570316438
A_L25,refusal_rate,0.020244328097731246,0.02533333333333334,0.0069121471177758876,5,-0.7362408740570291
A_L32,agreement_vs_b0,0.9924892703862661,0.9626932989690722,0.03427719990705128,5,0.8692650361753875
A_L32,ks_pa_vs_b0,0.007470651013874066,0.051314958973280034,0.03740689378980861,5,-1.1720916525646192
A_L32,d_mean_abs_dev,5.551115123125783e-17,-0.006858826004628648,0.002430122610847352,5,2.822419730598334
A_L32,flip_rate,0.2909880564603692,0.3883505154639175,0.020791402879809823,5,-4.682822970935519
A_L32,test_retest,0.9825479930191973,0.9826666666666666,0.00760116950066092,5,-0.015612551129006572
A_L32,refusal_rate,0.020593368237347254,0.029333333333333343,0.0036514837167011156,5,-2.3935380174396874
B_two,agreement_vs_b0,0.9903536977491961,0.8970532646048109,0.05408231137338523,5,1.7251561698285665
B_two,ks_pa_vs_b0,0.010660980810234541,0.1149742268041237,0.06333132945779442,5,-1.647103367116367
B_two,d_mean_abs_dev,0.001776830135039098,-0.010323596792668987,0.007281388910895397,5,1.66182950475311
B_two,flip_rate,0.2950108459869848,0.44539606911282165,0.08351086630868343,5,-1.8007862901333578
B_two,test_retest,0.9846422338568934,0.9719999999999999,0.0144529889257859,5,0.8747141454137745
B_two,refusal_rate,0.022338568935427627,0.04600000000000002,0.032608792270388286,5,-0.7256150693461622
C_band,agreement_vs_b0,0.9860365198711063,0.9131879780512138,0.09108043624662172,5,0.7998264481588335
C_band,ks_pa_vs_b0,0.012806830309498399,0.06857817869415808,0.05194429576577201,5,-1.0736760901744569
C_band,d_mean_abs_dev,-0.0014229811454997687,-0.007617411225658654,0.005714240286190962,5,1.0840338820067386
C_band,flip_rate,0.29392624728850325,0.3852523830392794,0.06910397711093724,5,-1.321575683034338
C_band,test_retest,0.9804537521815008,0.9800000000000001,0.018856180831641232,5,0.024063843338798897
C_band,refusal_rate,0.0216404886561955,0.03533333333333335,0.011925695879998904,5,-1.1481799313784873
