model,persona,best_layer,r_DD,r_PP,r_DP,r_PD,gap_persona,gap_default,util_corr
Gemma-3-27B,aura,32,0.8137781796204688,0.8435400413368672,0.8239119118880843,0.8251398356362759,0.019628129448782894,-0.011361656015807076,0.4204450348408724
Gemma-3-27B,contrarian,32,0.8137781796204688,0.5847729130884552,0.5683305837304707,0.8166575440681909,0.01644232935798451,-0.002879364447722077,0.19018151500696873
Gemma-3-27B,mathematician,25,0.8038921058905893,0.9194044443713978,0.9135969604744544,0.8122272209217971,0.005807483896943411,-0.008335115031207763,0.43549804604292286
Gemma-3-27B,sadist,32,0.8137781796204688,0.8485359277807678,0.8138650784574712,0.8100584085935252,0.03467084932329656,0.0037197710269436524,-0.12629774693120877
Gemma-3-27B,slacker,32,0.8137781796204688,0.8929939748620153,0.8870075739663958,0.8182316346198695,0.005986400895619415,-0.004453454999400641,0.22805738551094334
Gemma-3-27B,strategist,32,0.8137781796204688,0.8552211683275807,0.830353024262915,0.8166070398307618,0.024868144064665643,-0.0028288602102929383,0.34291488913405377
Qwen-3.5-122B,aura,43,0.5365432564355862,0.4422307657992798,0.41752311706394873,0.5234333147422623,0.024707648735331045,0.013109941693323912,-0.02109835542613949
Qwen-3.5-122B,contrarian,38,0.5420283676404558,0.5481469045804224,0.5242171060868273,0.5339864809389762,0.02392979849359511,0.00804188670147965,-0.05569961134399898
Qwen-3.5-122B,mathematician,43,0.5365432564355862,0.8014928901807605,0.8025593880446827,0.5242990637925831,-0.0010664978639222111,0.012244192643003138,0.21847542488277302
Qwen-3.5-122B,sadist,33,0.5292638275918726,0.21423346083382844,0.20985217126056932,0.5152792152381797,0.004381289573259117,0.013984612353692971,0.08464890601222977
Qwen-3.5-122B,slacker,43,0.5365432564355862,0.6587261769654698,0.6430338511232907,0.5223676494978319,0.015692325842179056,0.014175606937754326,0.18429787237915835
Qwen-3.5-122B,strategist,43,0.5365432564355862,0.19405641399302406,0.16441556221972886,0.5266598948009149,0.0296408517732952,0.009883361634671295,0.019659349624168647
