persona,layer,depth_frac,n_intersection,r_DD,r_PP,r_DP,r_PD,gap_persona_target,gap_default_target
aura,11,0.1774193548387097,5984,0.7137180824777917,0.7549449536595653,0.7705311672970571,0.7051095233135724,-0.015586213637491797,0.00860855916421932
aura,32,0.5161290322580645,5984,0.8256191491838342,0.8474648286766207,0.8339148301173901,0.8082358028935105,0.013549998559230558,0.017383346290323676
aura,53,0.8548387096774194,5984,0.8092283455014555,0.8401265909514112,0.8164697398076349,0.7974191591503215,0.023656851143776247,0.011809186351134038
contrarian,11,0.1774193548387097,5993,0.687723853002309,0.49228370912522657,0.5023177874462917,0.6778538277433624,-0.010034078321065176,0.009870025258946535
contrarian,32,0.5161290322580645,5993,0.811072734707739,0.5860363310120394,0.5870849019434375,0.7843249607672442,-0.0010485709313980962,0.026747773940494768
contrarian,53,0.8548387096774194,5993,0.7916809575117826,0.5695888144774752,0.5602880256157111,0.7719588776877123,0.009300788861764109,0.01972207982407026
mathematician,11,0.1774193548387097,5993,0.687723853002309,0.8943891198570513,0.9001007809927686,0.6785327204438536,-0.005711661135717305,0.009191132558455384
mathematician,32,0.5161290322580645,5993,0.811072734707739,0.9218133987290184,0.920210291042236,0.7971183004878171,0.0016031076867824012,0.01395443421992193
mathematician,53,0.8548387096774194,5993,0.7916809575117826,0.920012426269502,0.9153055803121145,0.7835315423574973,0.004706845957387462,0.008149415154285244
sadist,11,0.1774193548387097,5991,0.7066744487945443,0.711681372948346,0.7313026049193307,0.6917341076825864,-0.019621231970984754,0.014940341111957967
sadist,32,0.5161290322580645,5991,0.8147539666347234,0.8328846322872917,0.8076407794111797,0.8044118085996329,0.025243852876111972,0.010342158035090532
sadist,53,0.8548387096774194,5991,0.8008821814174167,0.821465516605014,0.7834011395606224,0.7918361616415526,0.038064377044391584,0.009046019775864167
slacker,11,0.1774193548387097,5991,0.7017434172323829,0.819232377741642,0.8327226692788169,0.6997581121012297,-0.013490291537174848,0.0019853051311531367
slacker,32,0.5161290322580645,5991,0.8175458734461628,0.9008952002360479,0.8941059973125919,0.8080506267554015,0.0067892029234559725,0.009495246690761294
slacker,53,0.8548387096774194,5991,0.8054700948136388,0.8964698295819338,0.8898843314552273,0.7887039056616296,0.006585498126706502,0.016766189152009225
strategist,11,0.1774193548387097,5993,0.687723853002309,0.7609759229731271,0.7699621362298635,0.677324277984198,-0.00898621325673643,0.010399575018110951
strategist,32,0.5161290322580645,5993,0.811072734707739,0.8537215996979987,0.8472450193225735,0.7885900471916524,0.0064765803754252005,0.02248268751608662
strategist,53,0.8548387096774194,5993,0.7916809575117826,0.8481588865087515,0.8342113354443097,0.7807874567610193,0.013947551064441788,0.01089350075076323
